id,module,difficulty,type,stem,options,answer,rationale,tags
C2M1-1,C2-M1,easy,mcq,Which element is missing from this question: 'Increase weekly revenue by 10%'?,Cohort/segment|Target metric|Time window|Decision owner,Cohort/segment,SMART requires a clearly defined audience or segment.,SMART|cohort
C2M1-2,C2-M1,medium,mcq,Best metric for activation quality of new users:,Total sessions|7-day retention for new users|All-time revenue|Pageviews,7-day retention for new users,Activation quality should be measured on a defined new-user cohort.,retention|activation
C2M1-3,C2-M1,medium,fitb,A minimal analysis designed to quickly change or confirm a decision is called a ______ analysis.,,smallest,Start with the smallest analysis that could change the decision.,decision_first
C2M1-4,C2-M1,hard,mcq,Which risk most threatens validity of a signup conversion metric?,Timeboxing to one week|Composition shift in traffic sources|Using a rolling average|Labeling axes,Composition shift in traffic sources,Compare like-for-like cohorts to avoid misleading improvements.,bias|cohort
C2M1-5,C2-M1,medium,mcq,Where should you place a predicate that would null-kill a LEFT join you intend to preserve?,WHERE clause|JOIN condition|GROUP BY|HAVING,JOIN condition,Predicates on the right table in WHERE can turn LEFT into INNER.,sql|joins
C2M1-6,C2-M1,easy,fitb,"In a stakeholder interview, always confirm the ______ and the deadline.",,decision owner,Clarify who decides and by when.,stakeholders
C2M1-7,C2-M1,medium,mcq,Which is the best backlog entry?,'Find insights on users'|'Increase MAU fast'|'Compute D7 retention for new Android users in May to decide onboarding change'|'Build more charts','Compute D7 retention for new Android users in May to decide onboarding change',"Specific metric, cohort, time window, and decision context.",backlog
C2M1-8,C2-M1,hard,mcq,A falsifiable hypothesis is preferred because:,It guarantees success|It can be disproven with evidence|It reduces sample size|It avoids stakeholders,It can be disproven with evidence,Design to falsify risky assumptions quickly.,methodology
C2M2-1,C2-M2,easy,mcq,Where should the explicit recommendation live in a short deck?,Appendix only|Title of the final slide and repeated in notes|Hidden in speaker notes|Not included,Title of the final slide and repeated in notes,Stakeholders should see it clearly.,storytelling
C2M2-2,C2-M2,medium,mcq,A common visual integrity risk in before/after charts is:,Consistent scales|Changing y-axis scale to exaggerate change|Annotating baseline|Showing uncertainty bands,Changing y-axis scale to exaggerate change,Keep scales comparable or disclose changes.,visual_integrity
C2M2-3,C2-M2,medium,fitb,Every chart must have labeled ______ and units where applicable.,,axes,Labels improve clarity and honesty.,charts
C2M2-4,C2-M2,hard,mcq,Which headline is most decision-ready?,'Engagement up'|'North +12% after April; replicate training in South'|'Charts updated'|'Small uplift observed','North +12% after April; replicate training in South',States change and action.,headlines
C2M2-5,C2-M2,medium,mcq,"To avoid cherry-picking, you should:",Show only best region|Shorten window to the best week|State selection rules and show full period with highlights|Hide filters,State selection rules and show full period with highlights,Declare criteria and context.,ethics
C2M2-6,C2-M2,easy,fitb,The single sentence that tops each slide is the ______.,,headline,One takeaway per slide.,slides
C2M2-7,C2-M2,medium,mcq,"When your cohort composition changes between periods, you should:",Ignore it|Use like-for-like comparison or control|Switch to pie charts|Hide the note,Use like-for-like comparison or control,Composition shifts can fake improvements.,cohorts
C2M2-8,C2-M2,hard,mcq,Which encoding best suits monthly sales over time?,Pie chart|3D surface|Line chart|stacked area with 15 categories by default,Line chart,Time series → line or column with care.,encodings
